route_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,trip_id
LTFRB_PUB1130,DAILY,,,,,412868,724782
LTFRB_PUJ2023,DAILY,,,,,537616,724783
LTFRB_PUJ1826,DAILY,,,,,993398,724784
LTFRB_PUJ2265,DAILY,,,,,487301,724785
LTFRB_PUJ1720,DAILY,,,,,578217,724786
LTFRB_PUJ2206,DAILY,,,,,269641,724787
LTFRB_PUJ1847,DAILY,,,,,928130,724788
LTFRB_PUJ2418,DAILY,,,,,389466,724789
LTFRB_PUJ2088,DAILY,,,,,667237,724790
LTFRB_PUJ2295,DAILY,,,,,467153,724791
LTFRB_PUJ1436,DAILY,,,,,832322,724792
LTFRB_PUJ1643,DAILY,,,,,638073,724793
LTFRB_PUJ1657,DAILY,,,,,845426,724794
LTFRB_PUJ1962,DAILY,,,,,699534,724795
LTFRB_PUJ1619,DAILY,,,,,174906,724796
LTFRB_PUJ2017,DAILY,,,,,162752,724797
LTFRB_PUJ1979,DAILY,,,,,930149,724798
LTFRB_PUJ2060,DAILY,,,,,403605,724799
LTFRB_PUJ1281,DAILY,,,,,570710,724800
LTFRB_PUJ1604,DAILY,,,,,687074,724801
LTFRB_PUJ2293,DAILY,,,,,641579,724802
LTFRB_PUJ1735,DAILY,,,,,902120,724803
LTFRB_PUJ1662,DAILY,,,,,386688,724804
LTFRB_PUJ1702,DAILY,,,,,815294,724805
LTFRB_PUJ2618,DAILY,,,,,486045,724806
LTFRB_PUJ2259,DAILY,,,,,454921,724807
LTFRB_PUJ2230,DAILY,,,,,608262,724808
LTFRB_PUJ2273,DAILY,,,,,163584,724809
LTFRB_PUJ1737,DAILY,,,,,101577,724810
LTFRB_PUJ2208,DAILY,,,,,354193,724811
LTFRB_PUJ1028,DAILY,,,,,752697,724812
LTFRB_PUJ1355,DAILY,,,,,681749,724813
LTFRB_PUJ1130,DAILY,,,,,243729,724814
LTFRB_PUJ1621,DAILY,,,,,290589,724815
LTFRB_PUJ1978,DAILY,,,,,472299,724816
LTFRB_PUJ1417,DAILY,,,,,326443,724817
LTFRB_PUJ1678,DAILY,,,,,549796,724818
LTFRB_PUJ1706,DAILY,,,,,123372,724819
LTFRB_PUJ1585,DAILY,,,,,807740,724820
LTFRB_PUJ1349,DAILY,,,,,122061,724821
LTFRB_PUJ1970,DAILY,,,,,243007,724822
LTFRB_PUJ1592,DAILY,,,,,444538,724823
LTFRB_PUJ1754,DAILY,,,,,188624,724824
LTFRB_PUJ1008,DAILY,,,,,199479,724825
LTFRB_PUJ1663,DAILY,,,,,564164,724826
LTFRB_PUJ2000,DAILY,,,,,513926,724827
LTFRB_PUJ1202,DAILY,,,,,491561,724828
LTFRB_PUJ1042,DAILY,,,,,677068,724829
LTFRB_PUJ1543,DAILY,,,,,859170,724830
LTFRB_PUJ1392,DAILY,,,,,316343,724831
LTFRB_PUJ2031,DAILY,,,,,669096,724832
LTFRB_PUJ2117,DAILY,,,,,964444,724833
LTFRB_PUJ1463,DAILY,,,,,545539,724834
LTFRB_PUJ1129,DAILY,,,,,308684,724835
LTFRB_PUJ1865,DAILY,,,,,871521,724836
LTFRB_PUJ2323,DAILY,,,,,873960,724837
LTFRB_PUJ2149,DAILY,,,,,926988,724838
LTFRB_PUJ2491,DAILY,,,,,395789,724839
LTFRB_PUJ1574,DAILY,,,,,609539,724840
LTFRB_PUJ2092,DAILY,,,,,873350,724841
LTFRB_PUJ1603,DAILY,,,,,238518,724842
LTFRB_PUJ1342,DAILY,,,,,527380,724843
LTFRB_PUJ1847,DAILY,,,,,928130,724844
LTFRB_PUJ2536,DAILY,,,,,294285,724845
LTFRB_PUJ1322,DAILY,,,,,503476,724846
LTFRB_PUJ1018,DAILY,,,,,572130,724847
LTFRB_PUJ2325,DAILY,,,,,356685,724848
LTFRB_PUJ1683,DAILY,,,,,802697,724849
LTFRB_PUJ2213,DAILY,,,,,469879,724850
LTFRB_PUB1012,DAILY,,,,,923878,724851
LTFRB_PUJ2025,DAILY,,,,,872183,724852
LTFRB_PUJ1636,DAILY,,,,,982163,724853
LTFRB_PUJ1986,DAILY,,,,,888697,724854
LTFRB_PUJ2006,DAILY,,,,,553572,724855
LTFRB_PUJ2226,DAILY,,,,,460602,724856
